"frame_num"; "directed_count"
900; ((9.5,7), (1,2), (1,1))
1800; ((6,3), (4,5.5), (0,3))
2700; ((2,4), (1,7), (4,3))
3600; ((2,3), (3,4), (2,1))
4500; ((5,3), (6,6), (4,4))
5400; ((3,3), (1.5,8), (4.5,3.5))
6300; ((6,4), (0,9), (1,11))
7200; ((5,15.5), (3.5,10), (19,0))
8100; ((3.5,11.5), (7,3), (6,9))
9000; ((3.5,8.5), (4.5,4.5), (3,4))
9900; ((2,5), (1,2), (0,2))
10800; ((4,5), (3,1.5), (0,2.5))
11700; ((3,1), (0,2.5), (0,6.5))
12600; ((1,2), (2,10), (4,4))
13500; ((1,14.5), (0,7), (4,6.5))
14400; ((3.5,6), (0,6), (1,4))
15300; ((2.5,1.5), (0,3), (3,4))
16200; ((3,11.5), (0,8), (0,8))
17100; ((6,13.5), (3.5,5), (3,4))
18000; ((2.5,15), (1,14), (2,1))
18900; ((5.5,3.5), (0,7), (4.5,9.5))
19800; ((2.5,3), (2,5), (5,5.5))
20700; ((1,2), (0,4), (0,5.5))
21600; ((5,0), (3,0), (0,4))
22500; ((5,17), (1,13), (2,7))
23400; ((4,8.5), (6,5.5), (5,8))
24300; ((4.5,5.5), (6,10), (7,12.5))
25200; ((1.5,14), (9,4), (3,11))
26100; ((2.5,3.5), (5,9.5), (9,5.5))
27000; ((10,10), (8,7), (1.5,5.5))
27900; ((9,4), (7,3), (10,3))
28800; ((2,6), (0,0.5), (2,8))
29700; ((8,11), (2,4), (2,18))
30600; ((0,7.5), (0,2), (5,1))
31500; ((4,5), (1,11), (5,11.5))
32400; ((3,5.5), (4,5), (5,5))
33300; ((1,7), (4,2.5), (2.5,5))
34200; ((2,2), (5,17), (6,11))
35100; ((2,4), (2.5,7), (1.5,3))
36000; ((3,2), (2,1), (1,0))
36900; ((0,0), (1,0), (5,1))
37800; ((2,1), (1.5,1), (0.5,4.5))
38700; ((5,11), (3,13), (2.5,8.5))
39600; ((1.5,3), (4.5,4), (4,5.5))
40500; ((3.5,8), (1.5,3), (3,8.5))
41400; ((3,5.5), (3,10), (0.5,5))
42300; ((1.5,10), (1,4.5), (3.5,6.5))
43200; ((2,9), (1,11), (0,3))
44100; ((6,6), (3,6), (1,4))
45000; ((3,4), (4,7), (7,3))
45900; ((2,2), (6,4), (3,8))
46800; ((1,8), (1.5,8), (4.5,4.5))
47700; ((4.5,1.5), (7,4), (2,3))
48600; ((5,3), (3,1.5), (11,1))
49500; ((3.5,8), (5.5,4), (3,1))
50400; ((3.5,2), (10,5), (4,6))
51300; ((4,4), (4,11), (6.5,5))
52200; ((4,0), (9,4), (10.5,13))
53100; ((10.5,10), (2.5,11), (9,3))
54000; ((0,2), (3,15.5), (4,8))
54900; ((4,2), (5,2), (4,0))
55800; ((3,5), (4.5,6), (3,10))
56700; ((3.5,9), (3,4.5), (7.5,7.5))
57400; ((1.5,7), (3,2), (4,3.5))
58500; ((4.5,0.5), (2,3), (8.5,2.5))
59400; ((4,1.5), (8,5), (3.5,14))
60300; ((2,5), (5,4), (3,4))
61200; ((8,11), (1.5,3), (4.5,11))
62100; ((5.5,3), (2.5,5), (4.5,5))
63000; ((2,2.5), (5,2), (8,1.5))
63900; ((5,10), (0,5.5), (1,10))
64800; ((0,4), (1,4.5), (5,8.5))
65700; ((4.5,8), (1,4.5), (2,9.5))
66600; ((1,7), (9,12.5), (2,9))
67500; ((8.5,0), (7.5,7), (0.5,4))
68400; ((2.5,3.5), (3.5,9), (5.5,2))
69300; ((7,4), (2,5.5), (3,4))
70200; ((4,4), (2,2), (7,5))
71100; ((2,3.5), (2,14.5), (0,1.5))
72000; ((6.5,4.5), (5.5,9), (2.5,3))
72900; ((10,8), (5,4.5), (4,7))
73800; ((1.5,4), (4,5), (4,3.5))
